IDSURVEY CID z MU MUERR
5 2006ej 0.02023 34.68050 0.12900
57 2004ef 0.03012 35.63050 0.13250
56 2009jb 0.02307 34.87860 0.22760
51 2013gy 0.01291 33.83890 0.16230
1 2372 0.17973 39.64580 0.12520
150 PS17tn 0.04590 36.50830 0.13150
150 ASASSN-15tz 0.02365 35.05110 0.18650
1 12983 0.26408 40.70960 0.26540
10 1304442 0.22449 40.25660 0.11960
57 1999cp 0.00954 33.15030 0.22260
63 2001fe 0.01467 34.00230 0.16180
10 1302187 0.21941 40.13640 0.13540
10 1343337 0.33897 41.20410 0.22500
66 2010Y 0.01250 33.85440 0.17290
150 PTSS17-niq 0.06897 37.39970 0.11950
65 2007le 0.00630 32.13860 0.36760
4 04D2an 0.62183 42.69750 0.18830
5 2005eq 0.02811 35.64700 0.11080
10 1281886 0.38402 41.64630 0.13590
5 2005am 0.00889 32.49450 0.22370
10 1283878 0.31296 41.14480 0.13640
15 580275 0.38248 41.49610 0.18240
4 05D3jh 0.71874 42.97870 0.12680
1 19128 0.28555 40.94070 0.16630
150 ASASSN-15la 0.02902 35.18710 0.14480
150 SN2016gfr 0.01671 33.98320 0.17030
10 1343401 0.38291 41.49120 0.14100
150 PSNJ0717457 0.00861 32.83790 0.26480
65 2007kh 0.05032 36.60760 0.22640
61 1995D 0.00840 32.58920 0.23410
4 05D4bj 0.69918 43.05030 0.21490
50 1993ag 0.04985 36.73500 0.16640
4 04D1hd 0.36799 41.58440 0.10570
4 04D4hu 0.70117 43.20320 0.17870
57 2002ef 0.02273 34.81420 0.23580
1 12977 0.24656 40.36110 0.16970
15 110716 0.31588 41.30330 0.16060
10 1337687 0.32868 41.19660 0.09290
61 1995ak 0.02188 34.78230 0.16490
50 1992al 0.01387 33.81570 0.15640
150 AT2016cvv 0.04438 36.65040 0.15900
15 070955 0.34932 41.26040 0.11040
150 PS16bnz 0.06446 37.19550 0.10150
10 1299775 0.16004 39.17980 0.16710
4 04D2fs 0.35850 41.27390 0.18780
51 2007fs 0.01666 34.44970 0.13340
57 2002de 0.02863 35.47030 0.18700
1 16069 0.12706 38.89910 0.17410
4 04D1aj 0.71969 43.07460 0.23320
1 2916 0.12316 38.68440 0.19470
56 PS1-14xw 0.02405 35.20870 0.20940
150 AT2016htn 0.05222 36.96310 0.14670
51 2018gv 0.00613 32.17430 0.30630
5 2015F 0.00506 31.58920 0.37030
15 050303 0.32842 41.43460 0.20420
15 040780 0.23082 40.22040 0.19330
5 2008go 0.06137 37.07040 0.09650
